Star,Distance(ly),SpectralType,RightAscension,Declination,Radius(R☉)
Sun,0,G2V,0h 0m 0s,+0° 0' 0",1.0
Proxima Centauri,4.24,M5.5Ve,14h 29m 42.95s,-62° 40' 46.1",0.154
Alpha Centauri A,4.37,G2V,14h 39m 36.5s,-60° 50' 2",1.22
Alpha Centauri B,4.37,K1V,14h 39m 35.08s,-60° 50' 13.8",0.86
Barnard's Star,5.96,M4.0Ve,17h 57m 48.5s,+04° 41' 36",0.19
Wolf 359,7.78,M6.5Ve,10h 56m 29.24s,+07° 00' 52",0.16
Lalande 21185,8.29,M2.0V,11h 03m 20.2s,+35° 58' 11.6",0.39
Sirius A,8.58,A1V,06h 45m 08.92s,-16° 42' 58",1.71
Sirius B,8.58,DA2,06h 45m 08.92s,-16° 42' 58",0.0084
Luyten 726-8A,8.73,M5.5Ve,01h 39m 01.3s,-17° 57' 01",0.14
Luyten 726-8B,8.73,M6.0Ve,01h 39m 01.3s,-17° 57' 01",0.14
Ross 154,9.68,M3.5Ve,18h 49m 49.39s,-23° 50' 10.4",0.24
Ross 248,10.32,M5.5Ve,23h 41m 54.7s,+44° 10' 30",0.16
Epsilon Eridani,10.52,K2V,03h 32m 55.84s,-09° 27' 29.7",0.74
Lacaille 9352,10.74,M0.5V,23h 05m 52.04s,-35° 51' 11.1",0.47
Ross 128,10.92,M4.0Vn,11h 47m 44.4s,+00° 48' 16",0.21
EZ Aquarii A,11.26,M5.0Ve,22h 38m 33.7s,-15° 18' 02",0.12
EZ Aquarii B,11.26,M5.0Ve,22h 38m 33.7s,-15° 18' 02",0.12
EZ Aquarii C,11.26,M,22h 38m 33.7s,-15° 18' 02",0.12
Procyon A,11.40,F5IV-V,07h 39m 18.12s,+05° 13' 29.9",2.048
Procyon B,11.40,DQZ,07h 39m 18.12s,+05° 13' 29.9",0.012
61 Cygni A,11.40,K5.0V,21h 06m 53.94s,+38° 44' 57.9",0.66
61 Cygni B,11.40,K7.0V,21h 06m 53.94s,+38° 44' 57.9",0.59
Struve 2398 A,11.52,M3.0V,18h 42m 46.7s,+59° 37' 49",0.33
Struve 2398 B,11.52,M3.5V,18h 42m 46.7s,+59° 37' 49",0.30
Groombridge 34 A,11.62,M1.5V,00h 18m 22.9s,+44° 01' 23",0.38
Groombridge 34 B,11.62,M3.5V,00h 18m 22.9s,+44° 01' 23",0.18
Epsilon Indi A,11.82,K5Ve,22h 03m 21.66s,-56° 47' 09.5",0.73
DX Cancri,11.82,M6.5Ve,08h 29m 49.5s,+26° 46' 37",0.11
Tau Ceti,11.88,G8.5V,01h 44m 04.08s,-15° 56' 14.9",0.79
GJ 1061,11.99,M5.5V,03h 35m 59.6s,-44° 30' 46",0.15
Wolf 1061,13.82,M3.5V,16h 30m 18.1s,-12° 39' 45",0.26
Van Maanen's Star,14.06,DXP9,00h 49m 09.91s,+05° 23' 19",0.011
Gliese 1,14.16,M1.5V,00h 05m 24.4s,-37° 21' 27",0.47
Wolf 424 A,14.22,M5.5V,12h 33m 17.3s,+09° 01' 15",0.14
Wolf 424 B,14.22,M5.5V,12h 33m 17.3s,+09° 01' 15",0.14
TZ Arietis,14.45,M4.5V,02h 00m 13.2s,+13° 18' 57",0.16
Gliese 687,14.71,M3.0V,17h 36m 25.9s,+68° 20' 21",0.40
LHS 292,14.76,M6.5V,10h 48m 12.6s,-11° 20' 10",0.10
Gliese 674,14.81,M3.0V,17h 28m 39.9s,-46° 53' 43",0.39
GJ 1245 A,14.91,M5.5V,19h 53m 54.3s,+44° 24' 55",0.15
GJ 1245 B,14.91,M6.0V,19h 53m 54.3s,+44° 24' 55",0.13
GJ 1245 C,14.91,M,19h 53m 54.3s,+44° 24' 55",0.13
Gliese 412 A,15.76,M1.0V,11h 05m 28.6s,+43° 31' 36",0.48
Gliese 412 B,15.76,M5.5V,11h 05m 28.6s,+43° 31' 36",0.13
Groombridge 1618,15.85,K7.0V,10h 11m 22.1s,+49° 27' 15",0.64
AD Leonis,15.94,M3.5V,10h 19m 36.4s,+19° 52' 10",0.38
Gliese 876,15.94,M4.0V,22h 53m 16.7s,-14° 15' 49",0.37
